File,Label,Reference,Date,Week,Year,Location,Microcystin,DOC,TKP,TKN,NH3,Nox,NO2,Cl,pH,rRNA_16S,Microcystis,Aanabaena,Planktothrix
,1-21280001,21280001,5/19/2020,1,2020,Backbone Beach,0.165,,,3.009,0.19,0.574,,17.122,8.28,7330690,0,0,0
,2-21280001,21280001,5/26/2020,2,2020,Backbone Beach,0.072,,,2.463,0.052,0.427,,15.675,8.66,20584752,0,0,0
,3-21280001,21280001,6/2/2020,3,2020,Backbone Beach,0,,,2.842,0.14,0.216,,17.162,8.33,26084856,0,0,0
,4-21280001,21280001,6/9/2020,4,2020,Backbone Beach,0.04,,,2.163,0.309,-0.1,,17.524,8.14,5166165,0,0,0
,5-21280001,21280001,6/16/2020,5,2020,Backbone Beach,0,,,2.143,0.165,0.438,,17.056,7.94,9275713,0,0,0
,6-21280001,21280001,6/23/2020,6,2020,Backbone Beach,0.325,,,7.446,0.413,1.127,,9.853,7.5,2314563,0,0,0
,7-21280001,21280001,6/30/2020,7,2020,Backbone Beach,0.09,,,1.744,0.561,-0.016,,14.996,8.08,13871911,0,0,0
,8-21280001,21280001,7/6/2020,8,2020,Backbone Beach,0,,,2.233,0.279,0.625,,15.179,8.17,2844839,0,0,0
,9-21280001,21280001,7/13/2020,9,2020,Backbone Beach,0.375,,,2.359,0.411,0.107,,14.785,8.05,4559847,0,0,0
,10-21280001,21280001,7/21/2020,10,2020,Backbone Beach,0.112,,,1.73,0.251,0.975,,14.5,7.74,8824172,0,0,0
,11-21280001,21280001,7/28/2020,11,2020,Backbone Beach,0.357,,,2.253,0.237,0.424,,14.148,8.31,5090541,0,0,0
,12-21280001,21280001,8/4/2020,12,2020,Backbone Beach,0.24,,,9.334,0.337,0.726,,13.76,8.13,2768779,0,0,0
,13-21280001,21280001,8/11/2020,13,2020,Backbone Beach,0.045,,,,0.341,0.608,,13.249,7.96,4476772,0,0,0
,14-21280001,21280001,8/17/2020,14,2020,Backbone Beach,0.322,,,1.658,0.321,0.932,,13.369,7.96,1877168,0,0,0
,15-21280001,21280001,8/25/2020,15,2020,Backbone Beach,0.293,,,2.033,0.206,0.911,,13.095,8.28,2213666,0,0,0
,16-21280001,21280001,9/1/2020,16,2020,Backbone Beach,0.065,,,1.974,0.308,1.139,,13.188,7.73,2963580,0,0,0
,1-21350001,21350001,5/20/2020,1,2020,Beed’s Lake Beach,0.13,,,4.529,0.256,0.643,,15.363,8.02,39500758,0,0,0
,2-21350001,21350001,5/27/2020,2,2020,Beed’s Lake Beach,0.165,,,5.867,0.415,1.025,,15.848,8.11,12266783,0,0,0
,3-21350001,21350001,6/3/2020,3,2020,Beed’s Lake Beach,0,,,2.943,0.201,0.45,,16.973,8.08,4107529,0,0,0
,4-21350001,21350001,6/10/2020,4,2020,Beed’s Lake Beach,0.073,,,3.096,0.263,1.088,,14.145,8.14,4975540,0,0,0
,5-21350001,21350001,6/17/2020,5,2020,Beed’s Lake Beach,0,,,2.82,0.167,0.057,,14.712,8.2,3093029,0,0,0
,6-21350001,21350001,6/24/2020,6,2020,Beed’s Lake Beach,0.172,,,4.789,0.342,0.818,,11.517,7.48,4043792,0,0,0
,7-21350001,21350001,6/30/2020,7,2020,Beed’s Lake Beach,0,,,3.819,0.269,0.984,,13.022,7.87,9329844,0,0,0
,8-21350001,21350001,7/8/2020,8,2020,Beed’s Lake Beach,0.493,,,3.349,0.149,1.295,,13.114,7.89,1248356,5096,0,0
,9-21350001,21350001,7/14/2020,9,2020,Beed’s Lake Beach,0.773,,,4.056,0.365,0.999,,14.025,8.01,13373686,32030,0,0
,10-21350001,21350001,7/22/2020,10,2020,Beed’s Lake Beach,0.227,,,3.933,0.283,1.464,,12.864,8.2,2606222,44412,0,0
,11-21350001,21350001,7/29/2020,11,2020,Beed’s Lake Beach,0.015,,,3.963,0.488,1.906,,13.594,,2488027,139744,0,0
,12-21350001,21350001,8/5/2020,12,2020,Beed’s Lake Beach,0.55,,,3.612,0.295,1.883,,13.203,8.11,3254939,122604,0,0
,13-21350001,21350001,8/12/2020,13,2020,Beed’s Lake Beach,0.327,,,4.538,0.359,1.633,,13.732,8.22,2560435,372508,0,0
,14-21350001,21350001,8/19/2020,14,2020,Beed’s Lake Beach,0.688,,,4.076,0.397,2.274,,12.845,8.51,1546124,18329,0,0
,15-21350001,21350001,8/26/2020,15,2020,Beed’s Lake Beach,5.722,,,2.061,0.579,1.87,,12.001,8.5,2690249,298237,0,0
,16-21350001,21350001,9/2/2020,16,2020,Beed’s Lake Beach,4.407,,,5.431,0.388,1.74,,13.521,8.92,2137592,123353,0,0
,1-21770001,21770001,5/20/2020,1,2020,Big Creek Beach,0.075,,,3.427,0.047,1.069,,21.765,8.27,5880571,0,0,0
,2-21770001,21770001,5/27/2020,2,2020,Big Creek Beach,0.045,,,3.595,0.075,1.069,,22.245,8.27,14852954,0,0,0
,3-21770001,21770001,6/3/2020,3,2020,Big Creek Beach,0,,,3.242,0.13,0.93,,22.539,8.27,6656739,0,0,0
,4-21770001,21770001,6/10/2020,4,2020,Big Creek Beach,0.087,,,3.215,0.286,1.101,,22.113,8.3,3991132,0,0,0
,5-21770001,21770001,6/17/2020,5,2020,Big Creek Beach,0,,,3.437,0.162,0.611,,21.807,8.3,3859681,0,0,0
,6-21770001,21770001,6/24/2020,6,2020,Big Creek Beach,0.295,,,3.41,0.159,0.599,,22.365,8.2,7005454,0,0,0
,7-21770001,21770001,6/29/2020,7,2020,Big Creek Beach,0,,,3.053,0.124,0.894,,22.432,8.46,2743689,0,0,0
,8-21770001,21770001,7/7/2020,8,2020,Big Creek Beach,0.12,,,2.964,0.11,0.683,,21.903,8.4,6487441,143359,0,0
,9-21770001,21770001,7/13/2020,9,2020,Big Creek Beach,0.57,,,2.843,0.307,0.704,,22.24,8.31,4741659,0,0,0
,10-21770001,21770001,7/20/2020,10,2020,Big Creek Beach,0,,,3.188,0.293,0.888,,22.389,8.4,12563574,0,0,0
,11-21770001,21770001,7/27/2020,11,2020,Big Creek Beach,0,,,3.214,0.414,1.312,,22.903,8.71,2918236,0,0,58945
,12-21770001,21770001,8/3/2020,12,2020,Big Creek Beach,0.28,,,2.99,0.167,1.363,,23.735,,3901603,0,0,0
,13-21770001,21770001,8/10/2020,13,2020,Big Creek Beach,0.085,,,2.767,0.221,1.368,,24.834,8.33,1546010,85861,0,0
,14-21770001,21770001,8/17/2020,14,2020,Big Creek Beach,0.213,,,2.686,0.141,1.504,,22.654,8.66,4513695,0,0,0
,15-21770001,21770001,8/24/2020,15,2020,Big Creek Beach,0.638,,,2.704,0.125,1.236,,23,8.91,3626053,0,0,0
,16-21770001,21770001,8/31/2020,16,2020,Big Creek Beach,0.252,,,3.477,0.336,1.37,,24.575,8.65,3581529,0,0,0
,1-21940001,21940001,5/19/2020,1,2020,Brushy Creek Beach,0,,,3.411,-0.001,0.482,,16.636,8.2,9050934,0,0,0
,2-21940001,21940001,5/26/2020,2,2020,Brushy Creek Beach,0.213,,,3.925,0.041,0.592,,15.072,8.15,7089814,0,0,0
,3-21940001,21940001,6/2/2020,3,2020,Brushy Creek Beach,0,,,2.943,0.093,-0.026,,16.224,7.94,1970651,0,0,0
,4-21940001,21940001,6/9/2020,4,2020,Brushy Creek Beach,0.272,,,3.077,0.252,0.457,,16.076,8.27,1980972,0,0,0
,5-21940001,21940001,6/16/2020,5,2020,Brushy Creek Beach,0,,,3.308,0.223,0.439,,16.515,8.2,1564107,0,0,0
,6-21940001,21940001,6/23/2020,6,2020,Brushy Creek Beach,0.052,,,3.59,-0.091,0.095,,16.408,8.3,4802231,0,0,0
,7-21940001,21940001,6/30/2020,7,2020,Brushy Creek Beach,0,,,3.212,0.269,0.336,,14.89,8.33,1242421,0,0,0
,8-21940001,21940001,7/7/2020,8,2020,Brushy Creek Beach,0.29,,,3.271,0.175,0.649,,15.045,8.15,4035215,0,0,0
,9-21940001,21940001,7/15/2020,9,2020,Brushy Creek Beach,1.053,,,3.376,0.146,0.776,,16.051,8.36,14447079,0,0,0
,10-21940001,21940001,7/21/2020,10,2020,Brushy Creek Beach,0,,,3.668,0.151,0.272,,3.748,8.1,5709767,0,0,0
