File,Label,Reference,Date,Week,Year,Location,Microcystin,DOC,TKP,TKN,NH3,Nox,NO2,Cl,pH,rRNA_16S,Microcystis,Aanabaena,Planktothrix
18-1-21280001,1-21280001,21280001,5/22/2018,1,2018,Backbone Beach,0.63,5.848,1.609,0.66,0.024,0.018,,18.76,8.1,147000,0,0,0
18-10-21280001,10-21280001,21280001,7/24/2018,10,2018,Backbone Beach,0.3,2.347,0.041,0.233,-0.047,7.321,0.0491,20.777,8.9,5040000,0,0,0
18-11-21280001,11-21280001,21280001,7/31/2018,11,2018,Backbone Beach,0.237,1.472,0.491,0.264,-0.084,5.924,0.0442,9.587,8.5,10900000,432,0,0
18-12-21280001,12-21280001,21280001,8/7/2018,12,2018,Backbone Beach,0.39,5.678,0.922,-0.24,0.003,4.408,0.0279,7.969,7.7,26600000,0,0,0
18-13-21280001,13-21280001,21280001,8/14/2018,13,2018,Backbone Beach,0.405,1.499,1.147,0.298,-0.042,6.002,0.0416,16.958,8,44600000,0,0,0
18-14-21280001,14-21280001,21280001,8/21/2018,14,2018,Backbone Beach,0.438,2.151,1.064,0.169,0.439,7.496,0.0364,16.674,8.9,40400000,0,0,0
18-15-21280001,15-21280001,21280001,8/28/2018,15,2018,Backbone Beach,0.418,1.728,1.019,1.142,,6.999,0.0422,17.507,8.8,7650000,0,0,0
18-2-21280001,2-21280001,21280001,5/29/2018,2,2018,Backbone Beach,0.153,7.288,1.382,0.458,0.033,15.163,0.0707,20.334,7.85,1760000,0,0,0
18-3-21280001,3-21280001,21280001,6/5/2018,3,2018,Backbone Beach,0.121,1.694,1.327,0.423,0.085,13.012,0.0603,21.218,8.01,2190000,0,0,0
18-4-21280001,4-21280001,21280001,6/12/2018,4,2018,Backbone Beach,0.165,2.583,1.217,0.569,0.083,15.872,0.0592,19.018,7.28,4440000,0,0,0
18-5-21280001,5-21280001,21280001,6/19/2018,5,2018,Backbone Beach,0.46,1.45,1.056,0.517,0.149,10.882,0.0563,19.203,8.8,423,0,0,0
18-6-21280001,6-21280001,21280001,6/26/2018,6,2018,Backbone Beach,0.13,1.55,1.246,0.348,0.057,15.376,0.1296,8.366,7.7,4960000,31700,0,51300
18-7-21280001,7-21280001,21280001,7/2/2018,7,2018,Backbone Beach,0.205,2.18,1.119,0.437,0.122,10.931,0.0426,17.63,7.9,6090000,0,0,0
18-8-21280001,8-21280001,21280001,7/10/2018,8,2018,Backbone Beach,0.425,1.908,1.219,0.505,0.068,8.195,0.0445,17.916,8.2,10800000,1240,0,0
18-9-21280001,9-21280001,21280001,7/17/2018,9,2018,Backbone Beach,0.155,1.869,1.695,0.167,-0.001,6.462,0.0559,11.682,7.09,12000000,0,0,0
18-1-21350001,1-21350001,21350001,5/23/2018,1,2018,Beed’s Lake Beach,0.402,2.769,1.243,0.495,0.02,4.871,,17.091,8.5,3340000,0,0,0
18-10-21350001,10-21350001,21350001,7/25/2018,10,2018,Beed’s Lake Beach,0.063,4.873,0.155,0.091,0.935,3.581,0.0928,14.906,7.78,16600000,4760,0,0
18-11-21350001,11-21350001,21350001,8/1/2018,11,2018,Beed’s Lake Beach,0.153,4.134,0.145,0.255,0.897,-0.025,0.0621,3.396,8.1,18800000,7820,0,0
18-12-21350001,12-21350001,21350001,8/8/2018,12,2018,Beed’s Lake Beach,0.488,4.221,0.75,-0.172,0.004,2.682,0.08,9.451,8.2,8190000,5170,0,0
18-13-21350001,13-21350001,21350001,8/15/2018,13,2018,Beed’s Lake Beach,0.635,4.01,1.065,0.438,0.353,1.647,0.088,14.101,7.7,14100000,48600,0,0
18-14-21350001,14-21350001,21350001,8/22/2018,14,2018,Beed’s Lake Beach,0.377,4.764,1.224,0.197,0.508,8.327,0.0445,15.852,7.8,33100000,38200,0,0
18-15-21350001,15-21350001,21350001,8/29/2018,15,2018,Beed’s Lake Beach,0.435,5.505,1.294,0.02,,4.652,0.0533,9.392,7.6,0,0,0,0
18-2-21350001,2-21350001,21350001,5/30/2018,2,2018,Beed’s Lake Beach,0.195,2.925,1.308,0.458,0.028,9.556,0.0638,16.834,8.7,8040000,882,0,0
18-3-21350001,3-21350001,21350001,6/6/2018,3,2018,Beed’s Lake Beach,0.075,2.712,1.867,0.143,,7.795,0.0908,16.445,7.7,5280000,0,0,0
18-4-21350001,4-21350001,21350001,6/13/2018,4,2018,Beed’s Lake Beach,0.538,2.619,1.559,0.334,0.402,8.581,0.084,14.674,8,10800000,18000,0,0
18-5-21350001,5-21350001,21350001,6/20/2018,5,2018,Beed’s Lake Beach,0.108,3.105,1.113,0.416,0.1,9.143,0.0755,13.422,7.7,9270000,1960,0,0
18-6-21350001,6-21350001,21350001,6/27/2018,6,2018,Beed’s Lake Beach,0,2.254,1.181,0.335,0.069,9.978,0.0535,14.507,8.7,8080000,9360,0,0
18-7-21350001,7-21350001,21350001,7/3/2018,7,2018,Beed’s Lake Beach,0.31,2.736,1.111,0.503,0.04,10.749,0.05,14.723,7.8,8410000,462,0,0
18-8-21350001,8-21350001,21350001,7/11/2018,8,2018,Beed’s Lake Beach,0,3.525,5.832,0.411,0.019,0.031,0.0049,5.525,8.93,11200000,0,0,0
18-9-21350001,9-21350001,21350001,7/18/2018,9,2018,Beed’s Lake Beach,0,2.876,0.896,0.122,0.009,5.746,0.0739,14.334,8.28,20700000,18200,0,0
18-1-21770001,1-21770001,21770001,5/22/2018,1,2018,Big Creek Beach,0.73,4.458,1.339,0.467,0.017,5.088,0.0331,24.743,8.7,11200000,0,0,0
18-10-21770001,10-21770001,21770001,7/24/2018,10,2018,Big Creek Beach,0.167,3.857,0.098,0.203,-0.068,4.329,0.0597,18.878,7.94,9260000,0,0,0
18-11-21770001,11-21770001,21770001,7/31/2018,11,2018,Big Creek Beach,0.235,3.508,0.096,0.149,-0.086,3.63,0.0591,9.02,8,4240000,1450,0,0
18-12-21770001,12-21770001,21770001,8/7/2018,12,2018,Big Creek Beach,0.772,3.084,0.792,-0.242,0.004,2.51,0.0615,11.812,8.3,8490000,17300,0,0
